Nome;CPF;RG;Sexo;Nascimento;Logradouro, Número;CEP;Bairro;Cidade;UF;Email;Fone
ADRIANE RODRIGUES;058.126.399-57;99088982 / PR;Fem;17/06/1982;RUA JURUTAU, 1470 TERREO;86700-000;Sem Informação;Rio Negro;PR;ADRIANE@hotmail.com;80531846
KHARINE MESSSIAS;055.937.829-70;98096663 / PR;Fem;03/03/1986;AV REP ARGENTINA 1347;80620-010;A VERDE;Simões;PI;KHARINE@hotmail.com;97784878
REGEANE ARIELLE DOS SANTOS;055.132.999-84;89444756 / PR;Fem;08/04/1986;CYRO CORREIA PEREIRA 151;80000-000;CIC;Canavieiras;BA;REGEANE43@live.com;65171182
LILIANE PRISCILA DE ALMEIDA;092.781.449-83;130728863 / PR;Fem;01/05/1993;AV. NOSSA SENHORA DE LOURDES,63;81530-020;JARDIM DAS AMERICA;Curitiba;PR;LILIANE@outlook.com;98919101
DAYANE ROSA DE LIMA;046.527.909-02;92536661 / PR;Fem;03/03/1984;AV LUIZ XAVIER, 78;80020-000;CENTRO;Carazinho;RS;DAYANE@outlook.com;55633010
LUCIRENE APARECIDA DE ANDRADE;675.428.599-00;63572993 / PR;Fem;15/04/1972;RUA DOMICILIANO T BRESOLIN,775;85816-080;SAO CARLOS;Manacapuru;AM;LUCIRENE@hotmail.com;85684525
ILZA APARECIDA DE MATOS;020.288.819-33;71449203 / PR;Fem;10/12/1978;RUA EMILIO CORNELSEN, 500;80000-000;AHU;Curitiba;PR;ILZA@outlook.com;81216289
PATRICIA DE JESUS DOS PASSOS;029.586.189-43;82159487 / PR;Fem;05/06/1978;RUA MATEUS LEME, 2.511;80530-010;CENTRO CIVICO;Altair;SP;PATRICIA32@hotmail.com;70963274
CLEUZA PALHANO DIAS;534.301.409-78;39465701 / PR;Fem;10/01/1967;CHACARA ARLA, S/N;84990-000;LAGOA;Viamão;RS;CLEUZA@outlook.com;41685681
CAMILA KOSLOSKI;088.138.549-27;101042855 / PR;Fem;07/06/1993;PÇA JOAQUIM MENELAU DE ALMEIDA TORRES,70 CURITIBA;81610-010;V HAUER;Lagoa Grande do Maranhão;MA;CAMILA@outlook.com;47265930
ELIZABETE APARECIDA ORLOVSKI;066.141.219-95;104395945 / PR;Fem;28/10/1988;LOCALIDADE DE CAMPINA 00,1;84430-000;ZONA RURAL;Cruzeta;RN;ELIZABETE@gmail.com;71199306
GESIELE CAMARGO PEREIRA;008.752.589-56;97917574 / PR;Fem;21/10/1986;AVENIDA BRASIL, 3200 MARINGÁ-PR;87013-000;CENTRO;Rolante;RS;GESIELE@outlook.com;30072900
PATRICIA RODRIGUES SANTOS;028.951.369-39;61446044 / PR;Fem;20/10/1975;RUA FILIPINAS,640;82960-180;CAJURU;Taquaritinga do Norte;PE;PATRICIA12@gmail.com;14513603
ADILSON ANTONIO BUSS;803.937.569-04;57626933 / PR;Mas;23/12/1966;RUA. MARECHAL DEODORO,869;80060-010;CENTRO;Bom Jesus do Amparo;MG;ADILSON@gmail.com;89346614
SUELEN LARISSA IZAIAS;088.174.359-37;102773586 / PR;Fem;03/08/1993;ANTONIO CAPELLO,401;86072-240;PQ INDL CACIQUE;Bom Lugar;MA;SUELEN@hotmail.com;39054257
MARLI MOREIRA;599.046.749-49;41654988 / PR;Fem;29/01/1966;R QUINTINO BOCAIUVA 317,99999;86020-150;MISTER THOMAZ;Londrina;PR;MARLI@live.com;37746749
REGEANE ARIELLE DOS SANTOS;055.132.999-84;89444756 / PR;Fem;08/04/1986;CYRO CORREIA PEREIRA 151;80000-000;CIC;Canavieiras;BA;REGEANE43@live.com;65171182
